Year,Month,Day,Time,Timezone,Temperature,UVB
2019,1,1,12:00,UTC,3.5,0.1
2019,1,2,12:00,UTC,-4,0.1
2019,1,3,12:00,UTC,-8.1,0.1
2019,1,4,12:00,UTC,0.5,0.1
2019,1,5,12:00,UTC,-5.2,0.1
2019,1,6,12:00,UTC,-3.4,0.1
2019,1,7,12:00,UTC,1.8,0.1
2019,1,8,12:00,UTC,0.5,0.1
2019,1,9,12:00,UTC,-2.2,0.1
2019,1,10,12:00,UTC,-5.8,0.1
2019,1,11,12:00,UTC,1.4,0.1
2019,1,12,12:00,UTC,-0.9,0.1
2019,1,13,12:00,UTC,-1.9,0.1
2019,1,14,12:00,UTC,-2.9,0.1
2019,1,15,12:00,UTC,-4.9,0.1
2019,1,16,12:00,UTC,-6.4,0.1
2019,1,17,12:00,UTC,-5.2,0.1
2019,1,18,12:00,UTC,-7.5,0.1
2019,1,19,12:00,UTC,-3.1,0.1
2019,1,20,12:00,UTC,-7.8,0.1
2019,1,21,12:00,UTC,-14.1,0.1
2019,1,22,12:00,UTC,-13.6,0.1
2019,1,23,12:00,UTC,-0.7,0.1
2019,1,24,12:00,UTC,-10.3,0.1
2019,1,25,12:00,UTC,-3.4,0.1
2019,1,26,12:00,UTC,-8.5,0.1
2019,1,27,12:00,UTC,-12.8,0.2
2019,1,28,12:00,UTC,-5.6,0.1
2019,1,29,12:00,UTC,-4.5,0.1
2019,1,30,12:00,UTC,0,0.1
2019,1,31,12:00,UTC,0.5,0.2
2019,2,1,12:00,UTC,-2.5,0.1
2019,2,2,12:00,UTC,-2.3,0.1
2019,2,3,12:00,UTC,0.5,0.1
2019,2,4,12:00,UTC,-4.1,0.1
2019,2,5,12:00,UTC,-0.3,0.1
2019,2,6,12:00,UTC,-6.1,0.2
2019,2,7,12:00,UTC,1,0.1
2019,2,8,12:00,UTC,1.2,0.1
2019,2,9,12:00,UTC,1.4,0.1
2019,2,10,12:00,UTC,2.4,0.1
2019,2,11,12:00,UTC,1.2,0.1
2019,2,12,12:00,UTC,-0.4,0.3
2019,2,13,12:00,UTC,0.5,0.2
2019,2,14,12:00,UTC,2.3,0.3
2019,2,15,12:00,UTC,7.1,0.4
2019,2,16,12:00,UTC,6.1,0.4
2019,2,17,12:00,UTC,3.7,0.4
2019,2,18,12:00,UTC,0.8,0.4
2019,2,19,12:00,UTC,1.5,0.1
2019,2,20,12:00,UTC,-2.4,0.2
2019,2,21,12:00,UTC,-4.3,0.4
2019,2,22,12:00,UTC,-3.2,0.5
2019,2,23,12:00,UTC,3.3,0.6
2019,2,24,12:00,UTC,2.3,0.2
2019,2,25,12:00,UTC,7.9,0.5
2019,2,26,12:00,UTC,4.5,0.6
2019,2,27,12:00,UTC,4.9,0.6
2019,2,28,12:00,UTC,3.2,0.3
2019,3,1,12:00,UTC,-2.8,0.5
2019,3,2,12:00,UTC,1.9,0.4
2019,3,3,12:00,UTC,-3.8,0.7
2019,3,4,12:00,UTC,-2,0.3
2019,3,5,12:00,UTC,-3.2,0.8
2019,3,6,12:00,UTC,-3.3,0.7
2019,3,7,12:00,UTC,0.3,0.3
2019,3,8,12:00,UTC,4.2,0.6
2019,3,9,12:00,UTC,1.9,0.7
2019,3,10,12:00,UTC,0.4,0.8
2019,3,11,12:00,UTC,-3.6,0.3
2019,3,12,12:00,UTC,-2,0.6
2019,3,13,12:00,UTC,-0.6,0.7
2019,3,14,12:00,UTC,1.4,0.3
2019,3,15,12:00,UTC,1.9,0.3
2019,3,16,12:00,UTC,1.6,0.4
2019,3,17,12:00,UTC,2.2,0.5
2019,3,18,12:00,UTC,3.8,0.3
2019,3,19,12:00,UTC,4.4,0.3
2019,3,20,12:00,UTC,2.5,0.5
2019,3,21,12:00,UTC,4.1,1.2
2019,3,22,12:00,UTC,7,1.3
2019,3,23,12:00,UTC,2.4,0.3
2019,3,24,12:00,UTC,6.3,1.1
2019,3,25,12:00,UTC,1.7,0.3
2019,3,26,12:00,UTC,3.2,1
2019,3,27,12:00,UTC,2.6,1.8
2019,3,28,12:00,UTC,8,1.3
2019,3,29,12:00,UTC,11.5,1.3
2019,3,30,12:00,UTC,9.7,1.1
2019,3,31,12:00,UTC,2.8,0.4
2019,4,1,12:00,UTC,7.6,1.5
2019,4,2,12:00,UTC,5.8,1.7
2019,4,3,12:00,UTC,11.4,1.7
2019,4,4,12:00,UTC,12.1,1.5
2019,4,5,12:00,UTC,11.9,1.2
2019,4,6,12:00,UTC,10,1.7
2019,4,7,12:00,UTC,9.2,1.3
2019,4,8,12:00,UTC,1.8,0.4
2019,4,9,12:00,UTC,3.2,0.3
